"test_case","execution_time","execution_penalty","new_difference","total_penalty","fixed_block_bitmap","total_block_bitmap","block_bitmap_score","fixed_inode_bitmap","total_inode_bitmap","inode_bitmap_score","fixed_pointer","total_pointer","pointer_score","tree_difference","total_tree","tree_score","final_block_bitmap","final_inode_bitmap","final_pointer","final_tree"
"1024-unmodified","0.04908871650695801","0.0","0","0.0","0","0","-","0","0","-","0","0","-","1","70","98.57142857142858","-","-","-","19.71428571428572"
"1024-bitmap","0.048027992248535156","0.0","0","0.0","1576","1576","100.0","79","79","100.0","0","0","-","1","70","98.57142857142858","30.0","20.0","-","19.71428571428572"
"1024-pointer","0.051677703857421875","0.0","0","0.0","0","0","-","0","0","-","6","6","100.0","1","70","98.57142857142858","-","-","70.0","19.71428571428572"
"1024-all","0.051750898361206055","0.0","0","0.0","1576","1576","100.0","79","79","100.0","6","6","100.0","1","70","98.57142857142858","30.0","20.0","70.0","19.71428571428572"
"2048-unmodified","0.06067943572998047","0.0","0","0.0","0","0","-","0","0","-","0","0","-","0","70","100.0","-","-","-","20.0"
"2048-bitmap","0.06325197219848633","0.0","0","0.0","1548","1548","100.0","79","79","100.0","0","0","-","0","70","100.0","30.0","20.0","-","20.0"
"2048-pointer","0.06857895851135254","0.0","0","0.0","0","0","-","0","0","-","12","12","100.0","0","70","100.0","-","-","70.0","20.0"
"2048-all","0.06865882873535156","0.0","0","0.0","1548","1548","100.0","79","79","100.0","12","12","100.0","0","70","100.0","30.0","20.0","70.0","20.0"
"4096-unmodified","0.22618484497070312","0.0","0","0.0","0","0","-","0","0","-","0","0","-","0","70","100.0","-","-","-","20.0"
"4096-bitmap","0.21783828735351562","0.0","0","0.0","860","860","100.0","79","79","100.0","0","0","-","0","70","100.0","30.0","20.0","-","20.0"
"4096-pointer","0.2224869728088379","0.0","0","0.0","0","0","-","0","0","-","10","10","100.0","0","70","100.0","-","-","70.0","20.0"
"4096-all","0.14957976341247559","0.0","0","0.0","860","860","100.0","79","79","100.0","10","10","100.0","0","70","100.0","30.0","20.0","70.0","20.0"
"complex1-unmodified","0.3677058219909668","0.0","0","0.0","0","0","-","0","0","-","0","0","-","82","244","66.39344262295081","-","-","-","13.278688524590162"
"complex1-bitmap","0.498950719833374","0.0","0","0.0","5417","5417","100.0","253","253","100.0","0","0","-","82","244","66.39344262295081","30.0","20.0","-","13.278688524590162"
"complex1-pointer","0.937368631362915","0.0","0","0.0","0","0","-","0","0","-","164","164","100.0","82","244","66.39344262295081","-","-","70.0","13.278688524590162"
"complex1-all","0.40028882026672363","0.0","0","0.0","5417","5417","100.0","253","253","100.0","164","164","100.0","82","244","66.39344262295081","30.0","20.0","70.0","13.278688524590162"
"Total","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","30.0","20.0","70.0","18.248243559718972"
